Symbol,Sector Score,Cap Score
MIDHANI,5.0,5.1
MINDACORP,5.8,5.9
MINDTECK,4.1,4.1
MMFL,7.8,7.8
MMP,8.1,10.0
MODISONLTD,7.1,7.7
MOIL,4.0,4.9
MOLDTKPAC,7.6,7.6
MONARCH,9.2,10.0
MOREPENLAB,6.8,6.8
MOTILALOFS,9.0,9.0
MPSLTD,8.2,10.0
MRF,5.5,5.7
MSTCLTD,7.4,9.1
MTARTECH,7.1,7.2
MUFTI,5.6,6.3
MUTHOOTFIN,8.8,8.8
NAM-INDIA,10.0,10.0
NATCOPHARM,9.7,9.9
NATIONALUM,9.2,9.2
NAVA,8.5,10.0
NAVINFLUOR,5.6,5.6
NBCC,8.0,10.0
NCC,8.3,8.7
NDRAUTO,8.7,8.7
NESCO,7.8,8.0
NESTLEIND,5.9,5.9
NEULANDLAB,7.4,7.5
NEWGEN,8.6,9.4
NH,8.3,9.7
NHPC,3.9,4.5
NIITMTS,4.4,5.4
NILAINFRA,5.1,7.2
NINSYS,6.5,6.5
NLCINDIA,6.3,7.2
NMDC,8.5,8.5
NOVAAGRI,6.6,8.1
NRBBEARING,6.4,6.4
NTPC,6.7,7.6
NUCLEUS,7.0,7.5
NUVAMA,8.3,8.3
OFSS,8.1,8.7
OIL,6.6,7.9
ONGC,6.8,8.2
ONWARDTEC,7.0,7.0
OPTIEMUS,5.3,5.5
ORBTEXP,7.5,9.8
ORICONENT,5.7,5.7
ORIENTPPR,8.7,10.0
PANAMAPET,9.2,10.0
PARACABLES,7.7,7.7
PARAGMILK,4.0,4.3
PARAS,7.7,7.9
PASHUPATI,4.4,4.4
PCBL,6.3,6.4
PDSL,8.1,8.1
PENIND,5.6,5.6
PERSISTENT,8.8,9.5
PETRONET,6.2,7.5
PFC,7.9,7.9
PFIZER,4.9,5.8
PFS,3.7,4.0
PGIL,8.8,9.3
PHOENIXLTD,8.3,10.0
PIDILITIND,8.0,8.0
PIIND,8.2,8.2
PITTIENG,7.8,7.8
PIXTRANS,9.6,9.6
PLATIND,4.9,5.2
PNB,7.1,7.1
PNBHOUSING,4.6,4.6
PNCINFRA,5.4,5.4
PNGJL,8.8,9.9
POKARNA,10.0,10.0
POLYCAB,10.0,10.0
POLYMED,8.5,8.7
POWERGRID,6.0,6.8
POWERMECH,8.7,9.2
PRAJIND,7.4,7.5
PRAKASH,5.0,7.1
PRECWIRE,3.9,3.9
PREMEXPLN,5.2,5.5
PREMIERENE,9.1,9.1
PRICOLLTD,6.7,6.8
PRUDENT,9.3,10.0
PUNJABCHEM,6.6,7.1
QPOWER,6.7,6.8
RADIANTCMS,4.6,4.9
RADICO,7.6,7.6
RAILTEL,7.1,10.0
RAINBOW,8.8,8.9
RAJRATAN,7.5,7.5
RALLIS,3.8,4.1
RAMKY,5.9,5.9
RAMRAT,8.5,8.5
RANEHOLDIN,6.5,7.1
RATEGAIN,6.3,6.9
RATNAMANI,6.9,7.0
RAYMOND,6.7,6.7
RECLTD,7.6,7.6
REDTAPE,6.4,7.2
REFEX,8.3,8.9
RELIABLE,7.7,8.5
RELIANCE,6.8,8.2
REMSONSIND,4.6,4.8
REPCOHOME,4.1,4.4
RESPONIND,8.3,8.3
RITES,6.2,6.5
RKFORGE,8.2,8.3
ROSSARI,6.8,7.3
ROTO,9.1,9.1
ROUTE,9.7,10.0
RPEL,6.7,6.7
RRKABEL,8.1,8.2
RSYSTEMS,7.6,8.2
RVNL,6.1,7.6
RVTH,4.7,5.1
SAFARI,8.9,10.0
SAILIFE,6.2,7.2
SAKSOFT,8.7,9.4
SANATHAN,3.5,3.5
SANDHAR,7.0,7.0
SANDUMA,10.0,10.0
SANGHVIMOV,4.9,6.0
SANOFI,4.8,4.9
SANSERA,6.9,7.0
SANSTAR,6.0,6.4
SARDAEN,8.2,10.0
SAREGAMA,10.0,10.0
SARLAPOLY,7.4,9.6
SATIN,4.8,5.2
SBCL,9.6,9.6
SBFC,5.3,5.8
SBIN,6.7,6.7
SCHAEFFLER,6.3,6.4
SERVOTECH,4.3,4.3
SHAILY,5.1,5.1
SHAKTIPUMP,7.3,7.4
SHARDACROP,7.5,7.7
SHARDAMOTR,10.0,10.0
SHAREINDIA,8.4,9.1
SHREEPUSHK,6.6,8.2
SHRIPISTON,9.0,9.1
SHRIRAMFIN,7.1,7.1
SHYAMMETL,7.5,7.5
SIEMENS,7.4,7.4
SIGMA,10.0,10.0
SILVERTUC,7.2,7.8
SIRCA,8.5,8.5
SIYSIL,8.3,8.3
SJS,6.1,6.2
SKFINDIA,5.2,5.2
SKIPPER,8.0,8.0
SKMEGGPROD,7.8,9.0
SMCGLOBAL,6.5,7.1
SMSPHARMA,7.2,7.2
SOLARINDS,10.0,10.0
SONACOMS,7.9,8.1
SONATSOFTW,6.6,7.2
SPAL,8.4,8.4
SRF,5.4,5.4
SRM,6.9,8.8
SSWL,4.2,4.2
STARPAPER,7.7,8.9
STERTOOLS,7.5,7.8
STYLAMIND,9.4,9.4
STYRENIX,4.9,5.3
SUBROS,6.3,6.3
