Symbol,Exchange,Ticker,passed,fail_reason,Price,Avg_Daily_Value_L,Market_Cap_Cr,Data_Rows
FRUTION,BSE,FRUTION.BO,False,Daily value Rs 0.7L < Rs 10L,32.5,0.71,,231.0
TRIVENIENT,BSE,TRIVENIENT.BO,False,Price Rs 1.0 < Rs 5,1.03,0.18,,305.0
BHANDERI,BSE,BHANDERI.BO,False,Daily value Rs 2.4L < Rs 10L,140.0,2.38,,2861.0
ZINEMA,BSE,ZINEMA.BO,False,Daily value Rs 0.0L < Rs 10L,19.18,0.04,,2854.0
CEMAINFRA,BSE,CEMAINFRA.BO,False,Price Rs 4.7 < Rs 5,4.69,0.03,,292.0
TTIENT,BSE,TTIENT.BO,False,Daily value Rs 1.5L < Rs 10L,9.3,1.46,,305.0
VISHAL,BSE,VISHAL.BO,True,,17.53,21.0,434.06,2344.0
TOYAMSL,BSE,TOYAMSL.BO,False,Price Rs 0.8 < Rs 5,0.8,7.89,,2816.0
GAJANANSEC,BSE,GAJANANSEC.BO,False,Daily value Rs 2.2L < Rs 10L,56.01,2.15,,304.0
UNISON,BSE,UNISON.BO,False,Price Rs 0.7 < Rs 5,0.7,11.5,,1446.0
RTFL,BSE,RTFL.BO,False,Daily value Rs 0.1L < Rs 10L,54.67,0.08,,221.0
VRL,BSE,VRL.BO,False,Daily value Rs 2.0L < Rs 10L,119.65,2.02,,305.0
QGO,BSE,QGO.BO,False,Daily value Rs 1.7L < Rs 10L,40.95,1.73,,1719.0
PURSHOTTAM,BSE,PURSHOTTAM.BO,False,MCap Rs 23.8Cr < Rs 50Cr,32.1,10.43,23.83,242.0
HCLTD,BSE,HCLTD.BO,False,No data,,,,
SIROHIA,BSE,SIROHIA.BO,False,Daily value Rs 0.2L < Rs 10L,7.27,0.17,,2820.0
MIIL,BSE,MIIL.BO,True,,579.7,229.53,1259.33,1389.0
CITYONLINE,BSE,CITYONLINE.BO,False,Daily value Rs 0.1L < Rs 10L,7.09,0.05,,276.0
SENSEXBEES,BSE,SENSEXBEES.BO,True,,853.2,106.27,,1967.0
ULTRACAB,BSE,ULTRACAB.BO,True,,6.53,10.06,80.29,305.0
RCCL,BSE,RCCL.BO,False,Daily value Rs 0.2L < Rs 10L,31.64,0.16,,300.0
ETIL,BSE,ETIL.BO,False,Daily value Rs 0.5L < Rs 10L,6.85,0.54,,305.0
ATISHAY,BSE,ATISHAY.BO,True,,208.95,20.28,230.5,305.0
SANGAMFIN,BSE,SANGAMFIN.BO,False,Daily value Rs 2.3L < Rs 10L,37.52,2.33,,1516.0
DHABRIYA,BSE,DHABRIYA.BO,True,,336.2,25.78,363.91,305.0
ARYACAPM,BSE,ARYACAPM.BO,False,Daily value Rs 1.3L < Rs 10L,400.0,1.26,,2814.0
HANMAN,BSE,HANMAN.BO,False,Price Rs 4.0 < Rs 5,4.0,0.11,,2814.0
VGCL,BSE,VGCL.BO,False,Daily value Rs 2.7L < Rs 10L,31.29,2.69,,305.0
PANABYTE,BSE,PANABYTE.BO,False,Daily value Rs 2.6L < Rs 10L,31.8,2.63,,1416.0
MUDUNURU,BSE,MUDUNURU.BO,False,Daily value Rs 1.7L < Rs 10L,12.84,1.71,,245.0
JSHL,BSE,JSHL.BO,False,Daily value Rs 0.0L < Rs 10L,8.08,0.0,,2231.0
CRANEINFRA,BSE,CRANEINFRA.BO,False,Daily value Rs 0.3L < Rs 10L,11.99,0.27,,305.0
NIYOGIN,BSE,NIYOGIN.BO,True,,36.89,28.56,410.39,305.0
ASIACAP,BSE,ASIACAP.BO,False,Daily value Rs 0.1L < Rs 10L,29.65,0.06,,2466.0
KALYANCAP,BSE,KALYANCAP.BO,False,Daily value Rs 3.1L < Rs 10L,6.2,3.12,,305.0
GBFL,BSE,GBFL.BO,False,Daily value Rs 4.7L < Rs 10L,9.37,4.73,,305.0
GILADAFINS,BSE,GILADAFINS.BO,False,Daily value Rs 0.8L < Rs 10L,11.92,0.78,,304.0
JETSOLAR,BSE,JETSOLAR.BO,False,Daily value Rs 0.5L < Rs 10L,14.03,0.51,,2793.0
SAPPL,BSE,SAPPL.BO,False,Daily value Rs 5.3L < Rs 10L,262.35,5.26,,288.0
CAPPIPES,BSE,CAPPIPES.BO,False,Daily value Rs 9.7L < Rs 10L,8.83,9.74,,305.0
KAIZENAGRO,BSE,KAIZENAGRO.BO,False,Daily value Rs 1.3L < Rs 10L,8.85,1.26,,305.0
JMJFIN,BSE,JMJFIN.BO,False,Daily value Rs 3.4L < Rs 10L,9.9,3.39,,305.0
JSTL,BSE,JSTL.BO,True,,66.15,11.52,131.76,305.0
ICL,BSE,ICL.BO,False,Daily value Rs 0.2L < Rs 10L,26.95,0.16,,303.0
SCC,BSE,SCC.BO,False,Daily value Rs 0.5L < Rs 10L,13.65,0.47,,2762.0
PANAFIC,BSE,PANAFIC.BO,False,Price Rs 0.7 < Rs 5,0.71,0.57,,305.0
MYMONEY,BSE,MYMONEY.BO,False,Daily value Rs 0.5L < Rs 10L,36.52,0.52,,300.0
AMARNATH,BSE,AMARNATH.BO,False,No data,,,,
CSL,BSE,CSL.BO,False,Daily value Rs 9.7L < Rs 10L,15.99,9.75,,305.0
NEXUSSURGL,BSE,NEXUSSURGL.BO,False,Daily value Rs 0.3L < Rs 10L,17.52,0.34,,305.0
SELLWIN,BSE,SELLWIN.BO,True,,5.19,42.1,121.89,1246.0
GALADAFIN,BSE,GALADAFIN.BO,False,Daily value Rs 0.1L < Rs 10L,21.02,0.09,,251.0
EMERALD,BSE,EMERALD.BO,True,,53.52,38.15,184.86,305.0
MKEXIM,BSE,MKEXIM.BO,True,,52.18,11.44,210.64,305.0
OCTAL,BSE,OCTAL.BO,False,Daily value Rs 0.1L < Rs 10L,23.7,0.06,,1328.0
MIHIKA,BSE,MIHIKA.BO,False,Daily value Rs 2.0L < Rs 10L,9.66,2.04,,299.0
KANCHI,BSE,KANCHI.BO,False,Daily value Rs 8.3L < Rs 10L,341.15,8.3,,305.0
VANICOM,BSE,VANICOM.BO,False,Daily value Rs 1.6L < Rs 10L,7.77,1.56,,305.0
SKILVEN,BSE,SKILVEN.BO,False,Daily value Rs 0.1L < Rs 10L,22.8,0.06,,866.0
RAFL,BSE,RAFL.BO,False,Daily value Rs 0.1L < Rs 10L,54.59,0.13,,2749.0
COSYN,BSE,COSYN.BO,False,Daily value Rs 0.8L < Rs 10L,20.07,0.75,,302.0
SOFCOM,BSE,SOFCOM.BO,True,,24.85,51.56,60.15,1095.0
NAPL,BSE,NAPL.BO,False,Daily value Rs 4.3L < Rs 10L,158.6,4.31,,293.0
