Symbol,Sector,Industry,Broad Sector,Revenue CAGR 5Y,Revenue CAGR 10Y,Revenue CAGR Max,Revenue CAGR Years,Avg OPM 5Y,Avg OPM 10Y,Profit CAGR 5Y,Profit CAGR 10Y,Profit CAGR Max,Profit CAGR Years,TTM Revenue,Revenue YoY Q,Revenue Consecutive YoY,Revenue Accelerating,TTM Profit,Profit YoY Q,Profit Positive Q,Total Quarters,Latest OPM Q,Avg OPM 4Q,Margin Improving,Latest EPS Q,EPS YoY Growth,Latest Debt,Debt Reducing,Latest Equity,ROE,Debt to Equity,Latest Operating CF,CF Positive Years,CF Total Years,CF Growing,Latest ROCE,ROCE Improving,Avg ROCE 5Y,Promoter Holding,Promoter Change 4Q,Promoter Change 8Q,FII Holding,FII Change 4Q,DII Holding,DII Change 4Q,ROE from Ratios,ROE Avg 5Y,ROE Improving,Final ROE
BEL,Capital Goods,Aerospace & Defense,Industrials,12.88,12.85,12.85,10.0,24.4,22.7,23.87,16.09,16.09,10,26536.0,23.96,4.0,False,5963.0,20.43,13,13,30.0,29.5,True,2.16,20.67,59.0,True,21567.0,27.65,0.0,587.0,9,12,False,39.0,True,31.8,51.14,0.0,0.0,18.51,1.17,20.47,-0.47,,,,27.65
BHEL,Capital Goods,Heavy Electrical Equipment,Industrials,5.72,-1.0,-1.0,10.0,-0.4,0.9,,-9.51,-9.51,10,30465.0,16.44,4.0,False,813.0,188.89,9,13,6.0,3.25,True,1.12,187.18,10969.0,False,24400.0,3.33,0.45,2192.0,8,12,True,5.0,True,1.0,63.17,0.0,0.0,6.28,-1.7,19.7,4.21,,,,3.33
MIDHANI,Capital Goods,Aerospace & Defense,Industrials,8.54,,7.12,6.0,25.8,,-6.82,,-2.72,6,1067.0,15.97,1.0,True,110.0,7.69,13,13,20.0,19.75,False,1.48,8.82,338.0,True,1441.0,7.63,0.23,217.0,6,7,True,11.0,False,15.0,74.0,0.0,0.0,1.25,-0.01,7.92,-0.56,,,,7.63
PARAS,Capital Goods,Aerospace & Defense,Industrials,19.95,,15.47,6.0,26.8,,24.99,,21.46,6,413.0,23.26,4.0,False,71.0,21.43,13,13,25.0,25.5,False,2.26,20.86,56.0,False,671.0,10.58,0.08,45.0,4,6,True,16.0,True,12.6,53.2,-3.85,-5.74,4.92,0.08,1.28,-0.2,,,,10.58
VINATIORGA,Chemicals,Specialty Chemicals,Commodities,16.92,,16.92,5.0,28.6,,3.93,,3.93,5,2271.0,1.72,1.0,False,443.0,7.45,13,13,30.0,29.25,True,9.73,7.63,0.0,True,2934.0,15.1,0.0,458.0,6,6,True,20.0,False,23.6,74.29,0.0,0.23,3.77,-1.54,9.84,2.23,,,,15.1
CLEAN,Chemicals,Specialty Chemicals,Commodities,18.21,,21.96,7.0,44.0,,13.53,,27.2,7,972.0,-8.71,0.0,False,245.0,-30.3,13,13,33.0,37.5,False,4.32,-30.1,2.0,False,1500.0,16.33,0.0,214.0,8,8,True,27.0,False,41.6,50.96,-24.01,-24.02,10.01,4.03,19.76,14.3,,,,16.33
FINEORG,Chemicals,Specialty Chemicals,Commodities,16.93,,14.71,9.0,22.2,21.6,19.97,,20.6,9,2347.0,7.35,4.0,True,397.0,-10.84,13,13,17.0,20.0,False,24.11,-10.6,16.0,True,2477.0,16.03,0.01,204.0,9,9,True,26.0,False,36.6,75.0,0.0,0.0,4.43,-0.79,11.8,0.28,,,,16.03
GALAXYSURF,Chemicals,Specialty Chemicals,Commodities,10.22,8.48,8.48,10.0,12.6,12.8,5.81,16.37,16.37,10,5078.0,27.54,4.0,True,280.0,-9.23,13,13,9.0,9.5,False,16.63,-8.73,268.0,True,2534.0,11.05,0.11,421.0,11,11,True,16.0,False,20.2,70.91,0.0,-0.01,4.09,-0.1,13.04,0.06,,,,11.05
AAVAS,Financial Services,Housing Finance Company,Financial Services,23.23,,26.43,6.0,34.8,,22.78,,31.96,6,2018.0,21.33,4.0,False,491.0,11.81,13,13,34.0,32.5,False,18.0,12.15,12398.0,False,3773.0,13.01,3.29,-1987.0,0,7,False,,,,48.95,22.48,9.85,24.72,-9.25,14.3,-11.39,14.0,13.6,True,14.0
SUNPHARMA,Healthcare,Pharmaceuticals,Healthcare,9.87,6.74,6.74,10.0,27.0,26.0,21.32,7.19,7.19,10,56809.0,13.5,4.0,True,10953.0,16.07,13,13,32.0,30.75,True,14.04,16.03,5215.0,True,77820.0,14.07,0.07,14072.0,12,12,True,20.0,True,16.6,54.48,0.0,0.0,16.12,-1.92,20.72,2.29,,,,14.07
DIVISLAB,Healthcare,Pharmaceuticals,Healthcare,11.65,11.63,11.63,10.0,35.0,35.4,9.73,9.91,9.91,10,10314.0,12.29,4.0,False,2479.0,-1.02,13,13,34.0,32.75,True,21.96,-1.04,90.0,False,15413.0,16.08,0.01,1653.0,12,12,False,20.0,False,24.4,51.88,-0.01,-0.04,20.08,2.1,19.18,-1.26,,,,16.08
APLLTD,Healthcare,Pharmaceuticals,Healthcare,7.69,12.49,12.49,10.0,17.0,20.7,-6.19,7.48,7.48,10,7267.0,10.81,4.0,True,627.0,-4.35,13,13,16.0,16.0,True,6.76,-3.98,1489.0,False,5319.0,11.79,0.28,88.0,12,12,False,13.0,True,14.0,69.74,0.13,0.13,4.23,0.06,16.17,0.12,,,,11.79
GRANULES,Healthcare,Pharmaceuticals,Healthcare,11.51,13.25,13.25,10.0,21.0,20.0,8.43,18.62,18.62,10,5092.0,21.97,4.0,True,546.0,27.12,13,13,22.0,21.0,True,6.19,27.63,1807.0,False,3983.0,13.71,0.45,867.0,11,12,True,15.0,False,18.2,38.02,-0.81,-3.94,13.79,-1.35,18.51,-3.94,,,,13.71
IPCALAB,Healthcare,Pharmaceuticals,Healthcare,14.01,10.96,10.96,10.0,20.6,18.0,5.38,11.94,11.94,10,9504.0,6.55,4.0,False,942.0,31.88,13,13,22.0,20.0,True,12.86,31.49,1279.0,True,7427.0,12.68,0.17,1321.0,12,12,True,15.0,False,18.0,44.72,0.0,-1.57,10.62,-0.44,36.99,1.63,,,,12.68
TITAN,Consumer Durables,"Gems, Jewellery And Watches",Consumer Discretionary,23.49,17.64,17.64,10.0,10.2,10.0,17.45,15.12,15.12,10,75580.0,43.27,4.0,True,4766.0,60.84,13,13,11.0,10.5,True,18.97,60.9,12465.0,False,12803.0,37.23,0.97,-541.0,7,12,True,19.0,False,20.2,52.9,0.0,0.0,15.55,-2.56,14.83,3.46,,,,37.23
HAVELLS,Consumer Durables,Consumer Electronics,Consumer Discretionary,18.2,9.91,9.91,10.0,11.6,11.7,14.87,14.34,14.34,10,22366.0,14.3,2.0,True,1483.0,7.91,13,13,9.0,9.75,True,4.8,8.11,286.0,False,8671.0,17.1,0.03,1515.0,12,12,False,25.0,False,25.6,59.38,-0.03,-0.05,17.96,-5.5,16.53,5.1,,,,17.1
