Symbol,Group,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,ML_Prediction,ML_Confidence
CYBERTECH,IT,84.8,0.0,True,False,0.0,85.5,1.8,0.5,12.0,112.07,110.62,123.37,Bullish Continual,0.0
CYIENT,IT,84.9,0.0,True,False,0.0,78.4,3.1,4.2,4.1,850.95,859.68,859.59,Reversal,84.9
DABUR,Consumer,72.0,0.0,True,False,0.0,71.3,0.7,2.5,12.5,433.82,441.62,484.48,Reversal,72.0
DALMIASUG,Consumer,0.0,80.3,False,True,0.0,0.0,1.1,2.6,16.4,324.13,328.83,373.13,Bullish,0.0
DAMCAPITAL,Financial,91.0,0.0,True,False,0.0,80.2,6.6,8.4,33.0,138.43,140.76,172.65,Reversal,91.0
DATAMATICS,IT,73.4,0.0,True,False,0.0,86.9,-1.9,-0.0,-0.4,673.65,686.03,683.8,No Signal,
DBCORP,Industrial,80.2,0.0,True,False,0.0,85.6,1.0,1.2,5.9,209.58,210.15,219.78,Bullish,80.2
DCMSHRIRAM,Industrial,0.0,0.0,False,False,0.0,85.8,0.6,2.1,7.8,1047.09,1062.98,1121.91,Bullish,0.0
DCMSRIND,Consumer,0.0,0.0,False,False,0.0,90.8,8.4,8.6,97.7,38.29,38.35,69.83,Bullish Continual,0.0
DEEPAKFERT,Chemicals,88.1,0.0,True,False,0.0,81.2,2.9,6.3,20.4,935.3,966.01,1093.84,Reversal,88.1
DEEPAKNTR,Chemicals,71.2,0.0,True,False,0.0,86.9,-0.5,1.1,14.6,1383.1,1405.51,1593.87,No Signal,
DELTACORP,Consumer,83.5,0.0,True,False,0.0,88.2,0.9,3.5,14.6,54.39,55.79,61.77,Reversal,83.5
DENTA,Industrial,87.2,0.0,True,False,0.0,83.7,3.0,4.0,3.0,248.93,251.36,248.8,Bullish,87.2
DEVIT,IT,0.1,82.0,False,True,0.0,84.8,-1.4,-1.1,17.1,27.19,27.27,32.29,No Signal,
DHANUKA,Chemicals,76.9,0.0,True,False,0.0,88.8,0.4,2.4,19.9,966.12,985.13,1153.76,Reversal,76.9
DICIND,Chemicals,68.0,0.0,True,False,0.0,0.2,0.3,1.8,8.5,499.14,506.77,539.97,Reversal,68.0
DIVISLAB,Healthcare,0.0,0.0,False,False,0.0,0.2,0.8,1.2,5.7,6151.55,6175.61,6446.11,Bullish,0.0
