Symbol,Sector,Market_Cap_Cr,Cap_Tier,Passed,Fail_Reason
BAJAJINDEF,Capital Goods,745.12,Small Cap,True,
BAJEL,Capital Goods,1887.75,Mid Cap,False,ROE 2.1% < 8% (Mid Cap)
BAJFINANCE,Financial Services,516298.57,Large Cap,True,
BALAJEE,Capital Goods,201.56,Small Cap,False,Poor CF: 1.0/5.0 yrs
BALAJITELE,"Media, Entertainment & Publication",1019.59,Mid Cap,False,Poor CF: 3.0/12.0 yrs
BALAMINES,Chemicals,3457.51,Mid Cap,True,
BALAXI,Healthcare,97.44,Small Cap,False,Poor CF: 3.0/7.0 yrs
BALKRISIND,Automobile and Auto Components,40695.2,Large Cap,True,
BALMLAWRIE,Diversified,2777.9,Mid Cap,False,Promoter nan% < 25% (Mid Cap)
BALRAMCHIN,Fast Moving Consumer Goods,9819.4,Mini Large,True,
BALUFORGE,Capital Goods,5316.28,Mini Large,True,
BANARISUG,Fast Moving Consumer Goods,4517.93,Mid Cap,False,TTM Profit negative or zero
BANCOINDIA,Automobile and Auto Components,7919.98,Mini Large,True,
BANDHANBNK,Financial Services,25524.25,Large Cap,False,TTM Profit negative or zero
BANKBARODA,Financial Services,144772.29,Large Cap,True,
BANKINDIA,Financial Services,68513.1,Large Cap,True,
BANSALWIRE,Capital Goods,3878.68,Mid Cap,False,Poor CF: 1.0/4.0 yrs
BANSWRAS,Textiles,384.7,Small Cap,False,ROE 3.9% < 10% (Small Cap)
BASF,Chemicals,14337.07,Mini Large,True,
BASML,Textiles,160.23,Small Cap,False,ROE 1.5% < 10% (Small Cap)
BATAINDIA,Consumer Durables,8525.23,Mini Large,True,
BAYERCROP,Chemicals,21213.99,Large Cap,False,Poor CF: 1.0/2.0 yrs
BBL,Capital Goods,2612.46,Mid Cap,False,TTM Profit negative or zero
BBOX,Information Technology,8631.31,Mini Large,True,
BBTC,Fast Moving Consumer Goods,10497.88,Mini Large,True,
BCLIND,Fast Moving Consumer Goods,800.17,Small Cap,True,
BCONCEPTS,Consumer Services,284.96,Small Cap,False,ROE 6.5% < 10% (Small Cap)
BDL,Capital Goods,45816.65,Large Cap,False,TTM Profit negative or zero
BECTORFOOD,Fast Moving Consumer Goods,5608.38,Mini Large,True,
BEL,Capital Goods,311469.68,Large Cap,True,
BEML,Capital Goods,12618.0,Mini Large,False,Inconsistent profits: 9.0/13.0 quarters
BEPL,Chemicals,2159.31,Mid Cap,True,
BERGEPAINT,Consumer Durables,48705.07,Large Cap,True,
BETA,Healthcare,1116.56,Mid Cap,True,
BFINVEST,Financial Services,1406.08,Mid Cap,False,ROE 3.1% < 8% (Mid Cap)
BHAGCHEM,Chemicals,2343.77,Mid Cap,False,ROE 2.0% < 8% (Mid Cap)
BHAGERIA,Chemicals,619.08,Small Cap,False,ROE 6.8% < 10% (Small Cap)
BHAGYANGR,Metals & Mining,466.61,Small Cap,False,ROE 6.2% < 10% (Small Cap)
BHARATFORG,Automobile and Auto Components,81824.87,Large Cap,True,
BHARATGEAR,Automobile and Auto Components,150.84,Small Cap,False,TTM Profit negative or zero
BHARATRAS,Chemicals,2120.52,Mid Cap,True,
BHARATWIRE,Capital Goods,1126.5,Mid Cap,False,D/E 1.85 > 1.5 (Mid Cap)
BHARTIARTL,Telecommunication,1124546.56,Large Cap,True,
BHARTIHEXA,Telecommunication,79205.0,Large Cap,False,TTM Profit negative or zero
BHEL,Capital Goods,91247.47,Large Cap,False,ROE 2.2% < 6% (Large Cap)
BIGBLOC,Construction Materials,709.58,Small Cap,False,ROE 2.3% < 10% (Small Cap)
BIKAJI,Fast Moving Consumer Goods,15795.25,Mini Large,True,
BIL,Consumer Durables,947.11,Small Cap,False,ROE 3.3% < 10% (Small Cap)
BIOCON,Healthcare,61688.43,Large Cap,False,ROE 5.3% < 6% (Large Cap)
BIRLACABLE,Telecommunication,385.56,Small Cap,False,ROE 1.9% < 10% (Small Cap)
BIRLACORPN,Construction Materials,6280.54,Mini Large,False,ROE 4.1% < 7% (Mini Large)
BIRLAMONEY,Financial Services,632.84,Small Cap,True,
BLACKBUCK,Services,11187.38,Mini Large,False,TTM Profit negative or zero
BLAL,Financial Services,688.4,Small Cap,False,TTM Profit negative or zero
BLISSGVS,Healthcare,2225.5,Mid Cap,False,ROE 7.9% < 8% (Mid Cap)
BLKASHYAP,Construction,1113.88,Mid Cap,False,ROE 5.1% < 8% (Mid Cap)
BLS,Consumer Services,9905.29,Mini Large,True,
BLSE,Information Technology,1308.59,Mid Cap,True,
BLUEDART,Services,12104.81,Mini Large,True,
BLUEJET,Healthcare,6209.2,Mini Large,False,Promoter selling: -6.19% in 4Q
BLUESTARCO,Consumer Durables,35127.25,Large Cap,True,
BODALCHEM,Chemicals,688.28,Small Cap,False,ROE 1.6% < 10% (Small Cap)
BOMDYEING,Textiles,2130.61,Mid Cap,False,Inconsistent profits: 8.0/13.0 quarters
