Symbol,Exchange,Ticker,passed,fail_reason,Price,Avg_Daily_Value_L,Market_Cap_Cr,Data_Rows
CELLO,NSE,CELLO.NS,True,,423.45,696.15,9355.96,586.0
CENTENKA,NSE,CENTENKA.NS,True,,417.15,71.41,914.08,6804.0
CENTEXT,NSE,CENTEXT.NS,True,,18.69,24.34,152.29,5892.0
CENTRALBK,NSE,CENTRALBK.NS,True,,34.17,2920.93,30945.18,4584.0
CENTRUM,NSE,CENTRUM.NS,True,,25.94,102.82,1163.37,1969.0
CENTUM,NSE,CENTUM.NS,True,,2987.8,2778.47,4414.74,5578.0
CENTURYPLY,NSE,CENTURYPLY.NS,True,,650.9,469.84,14461.24,4933.0
CERA,NSE,CERA.NS,True,,4753.7,806.49,6128.85,4531.0
CESC,NSE,CESC.NS,True,,152.74,3167.61,20246.76,5890.0
CEWATER,NSE,CEWATER.NS,True,,282.95,285.9,585.6,307.0
CGCL,NSE,CGCL.NS,True,,170.08,2444.03,16364.31,3797.0
CGPOWER,NSE,CGPOWER.NS,True,,681.6,25962.71,107346.38,5893.0
CHALET,NSE,CHALET.NS,True,,723.5,1108.57,15854.52,1758.0
CHAMBLFERT,NSE,CHAMBLFERT.NS,True,,428.55,3799.86,17169.95,5890.0
CHEMBOND,NSE,CHEMBOND.NS,True,,126.32,16.14,169.88,1571.0
CHEMCON,NSE,CHEMCON.NS,True,,146.56,52.85,536.86,1353.0
CHEMFAB,NSE,CHEMFAB.NS,True,,357.2,63.5,513.43,1953.0
CHEMPLASTS,NSE,CHEMPLASTS.NS,True,,280.33,1155.81,4445.86,1133.0
CHENNPETRO,NSE,CHENNPETRO.NS,True,,1064.75,19889.22,15870.51,5890.0
CHEVIOT,NSE,CHEVIOT.NS,True,,985.6,13.61,575.78,929.0
CHOICEIN,NSE,CHOICEIN.NS,True,,614.9,3574.16,13712.45,977.0
CHOLAFIN,NSE,CHOLAFIN.NS,True,,1440.5,23395.62,122735.95,5890.0
CHOLAHLDNG,NSE,CHOLAHLDNG.NS,True,,1407.6,2739.56,26466.55,5893.0
CIEINDIA,NSE,CIEINDIA.NS,True,,461.15,1741.47,17521.08,4576.0
CIGNITITEC,NSE,CIGNITITEC.NS,True,,1068.3,845.58,2942.84,2824.0
CINELINE,NSE,CINELINE.NS,True,,88.01,19.11,301.58,4712.0
CIPLA,NSE,CIPLA.NS,True,,1256.4,22284.63,101489.57,7587.0
CLEAN,NSE,CLEAN.NS,True,,698.6,1926.9,7427.22,1157.0
CLSEL,NSE,CLSEL.NS,True,,233.0,571.73,1161.46,1203.0
CMSINFO,NSE,CMSINFO.NS,True,,283.95,1560.05,4670.2,1044.0
COALINDIA,NSE,COALINDIA.NS,True,,468.15,48675.36,288508.12,3793.0
COASTCORP,NSE,COASTCORP.NS,True,,43.27,37.86,293.44,1100.0
COCHINSHIP,NSE,COCHINSHIP.NS,True,,1341.5,12378.76,35302.09,2127.0
COFFEEDAY,NSE,COFFEEDAY.NS,True,,23.83,249.27,503.41,2564.0
COFORGE,NSE,COFORGE.NS,True,,1089.3,35487.9,36590.54,5328.0
COLPAL,NSE,COLPAL.NS,True,,1896.1,7366.65,51571.2,5893.0
COMSYN,NSE,COMSYN.NS,True,,153.41,162.15,612.95,535.0
CONCOR,NSE,CONCOR.NS,True,,447.3,6306.49,34067.17,5890.0
CONCORDBIO,NSE,CONCORDBIO.NS,True,,1092.3,4992.32,11427.23,640.0
CONFIPET,NSE,CONFIPET.NS,True,,36.28,420.78,1207.02,1339.0
CONTROLPR,NSE,CONTROLPR.NS,True,,622.55,147.09,996.74,2406.0
