Symbol,Sector,Historical Score,Peer Score,Quality Score,Promoter Holding %,FII + DII %,Final Score
IIFLCAPS,Financial Services,32.0,25.0,10,30.93,21.9,67.0
ASALCBR,Fast Moving Consumer Goods,26.4,23.0,17,62.35,0.37,66.4
RRKABEL,Capital Goods,26.4,26.0,14,61.65,22.34,66.4
EMSLIMITED,Utilities,30.4,20.0,16,69.7,0.25,66.4
INDIANB,Financial Services,33.0,21.3,12,73.84,23.46,66.3
INNOVACAP,Healthcare,27.2,26.0,13,50.9,20.34,66.2
SIRCA,Consumer Durables,23.2,29.0,14,65.19,7.24,66.2
RELIABLE,Financial Services,33.0,21.0,12,67.79,0.32,66.0
IGL,"Oil, Gas & Consumable Fuels",23.0,32.0,11,45.0,41.17,66.0
TCI,Services,29.0,22.0,15,68.73,15.91,66.0
FAZE3Q,Textiles,27.0,26.0,13,57.95,0.78,66.0
PDSL,Textiles,26.0,24.0,16,61.4,9.0,66.0
MALLCOM,Capital Goods,29.0,20.0,17,73.68,0.0,66.0
BLUESTARCO,Consumer Durables,31.0,23.0,12,36.48,41.42,66.0
MASTEK,Information Technology,35.0,19.0,12,35.78,22.92,66.0
CIGNITITEC,Information Technology,26.0,28.0,12,54.0,20.9,66.0
GENUSPOWER,Capital Goods,32.0,25.0,9,39.34,21.95,66.0
JLHL,Healthcare,28.8,25.0,12,40.91,25.92,65.8
SONACOMS,Automobile and Auto Components,24.8,30.0,11,28.02,64.63,65.8
RECLTD,Financial Services,36.0,18.7,11,52.63,32.67,65.7
TANLA,Information Technology,19.0,29.7,17,46.17,8.64,65.7
EASEMYTRIP,Consumer Services,29.6,25.0,11,47.72,2.93,65.6
BEPL,Chemicals,22.0,28.6,15,57.48,1.13,65.6
KIRLPNU,Capital Goods,25.6,28.0,12,38.82,34.97,65.6
NCC,Construction,33.0,20.6,12,22.25,26.79,65.6
SKIPPER,Capital Goods,26.4,23.0,16,66.48,7.17,65.4
HINDCOPPER,Metals & Mining,18.4,32.0,15,66.14,12.13,65.4
UNITDSPR,Fast Moving Consumer Goods,26.0,26.3,13,56.68,29.49,65.3
VIJAYA,Healthcare,23.2,30.0,12,52.6,43.7,65.2
COALINDIA,"Oil, Gas & Consumable Fuels",27.0,24.0,14,63.13,30.75,65.0
PRADPME,Automobile and Auto Components,26.0,23.0,16,73.48,0.0,65.0
RSYSTEMS,Information Technology,30.0,20.0,15,51.88,12.96,65.0
GRINDWELL,Capital Goods,27.0,24.0,14,58.04,24.74,65.0
JGCHEM,Chemicals,24.0,26.0,15,70.99,6.69,65.0
HAVELLS,Consumer Durables,26.0,25.0,14,59.38,34.49,65.0
MEDANTA,Healthcare,33.0,21.0,11,33.01,24.53,65.0
ASKAUTOLTD,Automobile and Auto Components,24.0,27.0,14,74.95,18.85,65.0
MMFL,Automobile and Auto Components,29.0,21.0,15,56.33,10.29,65.0
TORNTPHARM,Healthcare,23.0,27.0,15,68.31,25.18,65.0
FMGOETZE,Automobile and Auto Components,28.0,20.0,17,74.98,0.98,65.0
THEJO,Capital Goods,24.0,25.0,16,53.61,3.93,65.0
RESPONIND,Consumer Durables,35.0,16.0,14,59.14,34.51,65.0
TATAELXSI,Information Technology,25.6,26.3,13,43.9,20.84,64.9
DREAMFOLKS,Services,24.8,25.0,15,65.72,0.01,64.8
BIKAJI,Fast Moving Consumer Goods,24.8,26.0,14,73.92,21.54,64.8
PITTIENG,Capital Goods,27.2,23.0,14,54.17,21.16,64.2
BAJAJST,Capital Goods,27.0,20.0,17,56.62,0.05,64.0
BOSCHLTD,Automobile and Auto Components,28.0,21.0,15,70.54,22.24,64.0
ELGIEQUIP,Capital Goods,29.0,23.0,12,31.19,31.19,64.0
NEULANDLAB,Healthcare,31.0,22.0,11,32.63,35.62,64.0
NESCO,Services,21.0,26.0,17,68.54,8.43,64.0
HAPPSTMNDS,Information Technology,28.8,21.0,14,44.21,15.51,63.8
INDOBORAX,Chemicals,27.0,21.7,15,50.79,0.25,63.7
PARAS,Capital Goods,25.6,26.0,12,53.2,6.2,63.6
OPTIFIN,Financial Services,28.0,22.4,13,53.89,0.0,63.4
ADANIPOWER,Power,21.0,26.3,16,74.96,15.05,63.3
AMRUTANJAN,Healthcare,27.0,25.3,11,46.52,15.27,63.3
TBOTEK,Consumer Services,27.2,25.0,11,44.4,49.86,63.2
NBCC,Construction,24.0,25.1,14,61.75,17.45,63.1
KEI,Capital Goods,28.0,26.0,9,35.0,52.76,63.0
KCP,Construction Materials,29.0,19.0,15,44.25,3.3,63.0
COFORGE,Information Technology,29.0,23.0,11,0.0,88.2,63.0
JYOTHYLAB,Fast Moving Consumer Goods,27.0,22.0,14,62.89,27.91,63.0
GOODLUCK,Capital Goods,30.0,16.0,17,56.44,5.9,63.0
BERGEPAINT,Consumer Durables,24.0,23.0,16,74.98,16.33,63.0
SUNPHARMA,Healthcare,27.0,23.0,13,54.48,36.84,63.0
TANAA,Capital Goods,27.0,20.0,16,52.03,0.09,63.0
SKMEGGPROD,Fast Moving Consumer Goods,25.0,21.0,17,57.43,1.07,63.0
LUMAXIND,Automobile and Auto Components,25.0,21.0,17,75.0,7.09,63.0
GNA,Automobile and Auto Components,25.0,22.0,16,68.58,11.77,63.0
GMDCLTD,Metals & Mining,30.0,16.0,17,74.0,3.16,63.0
MARINE,Capital Goods,31.0,17.0,15,68.2,0.62,63.0
ARIHANTCAP,Financial Services,28.0,22.0,13,67.67,0.04,63.0
HCLTECH,Information Technology,22.0,26.0,15,60.82,34.58,63.0
PARACABLES,Capital Goods,33.0,14.9,15,49.12,0.36,62.9
EMCURE,Healthcare,20.8,25.0,17,77.87,9.69,62.8
MOLDTKPAC,Capital Goods,25.6,25.0,12,33.07,30.48,62.6
NICCOPAR,Consumer Services,27.0,19.4,16,69.44,0.0,62.4
HNDFDS,Fast Moving Consumer Goods,26.4,22.0,14,61.31,20.34,62.4
